mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
62.546278397242226,5.063803933814187,1.4587596257527669,0.5761691450108375,0.7810890415965769,0.13408571676918993,8,91,220,38,1.3017769458977058,0.11282315805420051,0.9026995702933887,"{'colsample_bytree': np.float64(0.7810890415965769), 'learning_rate': np.float64(0.13408571676918993), 'max_depth': 8, 'min_child_samples': 91, 'n_estimators': 220, 'num_leaves': 38, 'reg_alpha': np.float64(1.3017769458977058), 'reg_lambda': np.float64(0.11282315805420051), 'subsample': np.float64(0.9026995702933887)}",0.7752899062523533,0.780038019743126,0.7793266397188586,0.778218188571446,0.0020908759551863856,11,0.9294390546781406,0.9270409241168129,0.9278132680190703,0.9280977489380079,0.0009994847313234715
203.56402921676636,28.09592287627512,3.7927849292755127,0.5162093726177713,0.9784934481555125,0.02009345190092172,12,40,360,72,1.0495128632644757,0.8638900372842315,0.7519301990693147,"{'colsample_bytree': np.float64(0.9784934481555125), 'learning_rate': np.float64(0.02009345190092172), 'max_depth': 12, 'min_child_samples': 40, 'n_estimators': 360, 'num_leaves': 72, 'reg_alpha': np.float64(1.0495128632644757), 'reg_lambda': np.float64(0.8638900372842315), 'subsample': np.float64(0.7519301990693147)}",0.7820660119022403,0.7863059450725205,0.7849116856653013,0.7844278808800208,0.0017644278817425573,4,0.8875426948945072,0.8871590417571292,0.8872186853214798,0.8873068073243721,0.0001685656113610722
172.23398685455322,3.221916770284866,4.3518045743306475,1.2641609875736581,0.8641485131528328,0.03673926327824502,12,34,389,76,1.5703519227860272,0.39934756431671947,0.8299820534447641,"{'colsample_bytree': np.float64(0.8641485131528328), 'learning_rate': np.float64(0.03673926327824502), 'max_depth': 12, 'min_child_samples': 34, 'n_estimators': 389, 'num_leaves': 76, 'reg_alpha': np.float64(1.5703519227860272), 'reg_lambda': np.float64(0.39934756431671947), 'subsample': np.float64(0.8299820534447641)}",0.7812102590865988,0.7864657032588425,0.7837638341703859,0.7838132655052757,0.002145810795409544,7,0.9416179919470119,0.9398233320237986,0.940135328259038,0.9405255507432829,0.0007829032508999728
99.89925654729207,4.25332044197463,2.542050043741862,0.605058712751801,0.8573450991017149,0.025574049526399727,8,40,366,32,1.8977710745066665,1.9312640661491187,0.9329390718407614,"{'colsample_bytree': np.float64(0.8573450991017149), 'learning_rate': np.float64(0.025574049526399727), 'max_depth': 8, 'min_child_samples': 40, 'n_estimators': 366, 'num_leaves': 32, 'reg_alpha': np.float64(1.8977710745066665), 'reg_lambda': np.float64(1.9312640661491187), 'subsample': np.float64(0.9329390718407614)}",0.7822086350336708,0.7862287341264286,0.7850367726242033,0.7844913805947676,0.001685900061930735,3,0.8457816901175607,0.8452435058542822,0.8455252122764982,0.845516802749447,0.00021979325955552134
261.3115077018738,11.83424203780987,4.485525608062744,1.6051812024081686,0.7566148192106797,0.03172065368076606,12,111,566,74,0.24407646968955765,0.9903538202225404,0.6620359823903265,"{'colsample_bytree': np.float64(0.7566148192106797), 'learning_rate': np.float64(0.03172065368076606), 'max_depth': 12, 'min_child_samples': 111, 'n_estimators': 566, 'num_leaves': 74, 'reg_alpha': np.float64(0.24407646968955765), 'reg_lambda': np.float64(0.9903538202225404), 'subsample': np.float64(0.6620359823903265)}",0.7813769526518215,0.7860585618504945,0.7840553223336751,0.7838302789453304,0.001917872009503098,6,0.9537475406143672,0.9523833734960763,0.9523792417476706,0.9528367186193712,0.0006440506179705329
276.12815594673157,8.159995927572057,3.951850652694702,0.7901888267100818,0.9682621407275738,0.051053597792002026,12,21,589,68,1.0934205586865593,0.3697089110510541,0.9893546197175955,"{'colsample_bytree': np.float64(0.9682621407275738), 'learning_rate': np.float64(0.051053597792002026), 'max_depth': 12, 'min_child_samples': 21, 'n_estimators': 589, 'num_leaves': 68, 'reg_alpha': np.float64(1.0934205586865593), 'reg_lambda': np.float64(0.3697089110510541), 'subsample': np.float64(0.9893546197175955)}",0.7732062106368153,0.7792209555609535,0.7761822763590177,0.7762031475189288,0.0024555536822474704,14,0.9804207654757315,0.9800307510247587,0.9797533110172171,0.9800682758392357,0.0002737760000728854
96.12729946772258,1.5384647243366485,1.903065284093221,0.3525936038098587,0.9212964881763901,0.13273987298770268,5,33,470,76,0.6506606615265287,0.777354579378964,0.7449721611208636,"{'colsample_bytree': np.float64(0.9212964881763901), 'learning_rate': np.float64(0.13273987298770268), 'max_depth': 5, 'min_child_samples': 33, 'n_estimators': 470, 'num_leaves': 76, 'reg_alpha': np.float64(0.6506606615265287), 'reg_lambda': np.float64(0.777354579378964), 'subsample': np.float64(0.7449721611208636)}",0.77197291350799,0.7751946965852887,0.7723098969590616,0.7731591690174469,0.0014458950679210026,15,0.9408572388572559,0.938888754462012,0.9416002011159689,0.9404487314784123,0.0011440117855572157
264.75570432345074,6.951078177784496,4.863495349884033,0.8858326228157313,0.9400581282031752,0.06281039920323071,12,143,692,55,0.5925470114081648,0.330533878126005,0.6554727423594179,"{'colsample_bytree': np.float64(0.9400581282031752), 'learning_rate': np.float64(0.06281039920323071), 'max_depth': 12, 'min_child_samples': 143, 'n_estimators': 692, 'num_leaves': 55, 'reg_alpha': np.float64(0.5925470114081648), 'reg_lambda': np.float64(0.330533878126005), 'subsample': np.float64(0.6554727423594179)}",0.7743669257491241,0.778940993491725,0.7779052809853635,0.7770710667420708,0.00195830862076769,12,0.9853244079564814,0.9852461063881354,0.9848654552524183,0.9851453231990117,0.00020046169135132526
84.9065130551656,3.4483372470390146,2.3112576802571616,0.884603988069421,0.7981905182472294,0.06738578218106836,12,82,338,22,1.4580143360819746,1.5425406933718915,0.6759156281069316,"{'colsample_bytree': np.float64(0.7981905182472294), 'learning_rate': np.float64(0.06738578218106836), 'max_depth': 12, 'min_child_samples': 82, 'n_estimators': 338, 'num_leaves': 22, 'reg_alpha': np.float64(1.4580143360819746), 'reg_lambda': np.float64(1.5425406933718915), 'subsample': np.float64(0.6759156281069316)}",0.782529616232081,0.787081583340791,0.7847761003151642,0.7847957666293454,0.0018583848206851958,2,0.8735237153558142,0.8717246484019116,0.8721838754704927,0.8724774130760728,0.000763231603369694
128.91769552230835,2.4654037541592455,2.1269075870513916,0.9044467887521359,0.7754630049904954,0.03390428714301556,8,91,232,62,0.7416365043965327,1.3376825053272146,0.8830728248161238,"{'colsample_bytree': np.float64(0.7754630049904954), 'learning_rate': np.float64(0.03390428714301556), 'max_depth': 8, 'min_child_samples': 91, 'n_estimators': 232, 'num_leaves': 62, 'reg_alpha': np.float64(0.7416365043965327), 'reg_lambda': np.float64(1.3376825053272146), 'subsample': np.float64(0.8830728248161238)}",0.7813985342845176,0.785252048020796,0.7836375047983198,0.7834293623678777,0.0015800600162513506,8,0.8751416131205174,0.8731829492348339,0.8752498705202231,0.8745248109585249,0.000949868264647906
