mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
133.3628485997518,17.37629163404421,2.6015716393788657,0.4302342486717554,0.7810890415965769,0.17254716573280354,8,81,320,97,0.0003161364550529618,0.09445898178638688,1.0,0.8603902541101232,"{'colsample_bytree': np.float64(0.7810890415965769), 'learning_rate': np.float64(0.17254716573280354), 'max_depth': 8, 'min_child_samples': 81, 'n_estimators': 320, 'num_leaves': 97, 'reg_alpha': np.float64(0.0003161364550529618), 'reg_lambda': np.float64(0.09445898178638688), 'scale_pos_weight': 1, 'subsample': np.float64(0.8603902541101232)}",-0.7634720680950697,-0.7630940331451288,-0.758957098607351,-0.7618410666158498,0.0020451049217383526,13
184.74968314170837,2.237111118988128,3.6376547813415527,0.275139693747055,0.897825402228616,0.010636066512540286,5,97,791,44,0.0011526449540315614,0.006053891567028103,1.0,0.8661185283697008,"{'colsample_bytree': np.float64(0.897825402228616), 'learning_rate': np.float64(0.010636066512540286), 'max_depth': 5, 'min_child_samples': 97, 'n_estimators': 791, 'num_leaves': 44, 'reg_alpha': np.float64(0.0011526449540315614), 'reg_lambda': np.float64(0.006053891567028103), 'scale_pos_weight': 1, 'subsample': np.float64(0.8661185283697008)}",-0.7893857541797251,-0.7903857175956978,-0.7897368356869344,-0.7898361024874524,0.0004142238779410061,20
473.49599568049115,46.59337800514228,9.188383102416992,1.2789335104785091,0.8640786061708983,0.010213944061855218,-1,58,774,73,0.00998400658032865,0.001587487876280495,17.080664652567975,0.7782266451527922,"{'colsample_bytree': np.float64(0.8640786061708983), 'learning_rate': np.float64(0.010213944061855218), 'max_depth': -1, 'min_child_samples': 58, 'n_estimators': 774, 'num_leaves': 73, 'reg_alpha': np.float64(0.00998400658032865), 'reg_lambda': np.float64(0.001587487876280495), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.7782266451527922)}",-0.5019694401424338,-0.49349414045827594,-0.5015731323626254,-0.499012237654445,0.0039052368655316445,5
201.37506532669067,4.406232443517651,4.226346651713054,0.7563890956173027,0.8096244944759625,0.10508421338691762,8,64,543,78,0.02156822801926396,4.996081149640569,11.38710976837865,0.7096834432905521,"{'colsample_bytree': np.float64(0.8096244944759625), 'learning_rate': np.float64(0.10508421338691762), 'max_depth': 8, 'min_child_samples': 64, 'n_estimators': 543, 'num_leaves': 78, 'reg_alpha': np.float64(0.02156822801926396), 'reg_lambda': np.float64(4.996081149640569), 'scale_pos_weight': 11.38710976837865, 'subsample': np.float64(0.7096834432905521)}",-0.575491140568028,-0.563491579576357,-0.5676568864174044,-0.5688798688539297,0.004974543900583259,12
100.8629109064738,1.211497347752855,2.5826037724812827,0.4978729193335427,0.6727680575448478,0.17160445029754812,12,23,541,23,0.00012017974027309969,0.009841952616421304,17.080664652567975,0.8040533728088605,"{'colsample_bytree': np.float64(0.6727680575448478), 'learning_rate': np.float64(0.17160445029754812), 'max_depth': 12, 'min_child_samples': 23, 'n_estimators': 541, 'num_leaves': 23, 'reg_alpha': np.float64(0.00012017974027309969), 'reg_lambda': np.float64(0.009841952616421304), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.8040533728088605)}",-0.5350170115727474,-0.528505054693121,-0.5330357796151314,-0.5321859486269999,0.002725564789399267,9
128.33014035224915,3.7406277748525207,2.3987606366475425,0.1947805942521405,0.6927133821956726,0.04407984038169244,8,87,380,50,0.000815042844436478,1.7735036366245884,5.693554884189325,0.8320238074122338,"{'colsample_bytree': np.float64(0.6927133821956726), 'learning_rate': np.float64(0.04407984038169244), 'max_depth': 8, 'min_child_samples': 87, 'n_estimators': 380, 'num_leaves': 50, 'reg_alpha': np.float64(0.000815042844436478), 'reg_lambda': np.float64(1.7735036366245884), 'scale_pos_weight': 5.693554884189325, 'subsample': np.float64(0.8320238074122338)}",-0.5578576393546577,-0.5522602831603722,-0.5503158459549767,-0.5534779228233355,0.0031970451651990523,11
172.94475102424622,2.374107506254875,3.651271025339762,0.19099730928192538,0.8413485977701479,0.017398074711291726,5,99,855,48,0.009456951897345888,9.673587794352073,11.38710976837865,0.9726559822580909,"{'colsample_bytree': np.float64(0.8413485977701479), 'learning_rate': np.float64(0.017398074711291726), 'max_depth': 5, 'min_child_samples': 99, 'n_estimators': 855, 'num_leaves': 48, 'reg_alpha': np.float64(0.009456951897345888), 'reg_lambda': np.float64(9.673587794352073), 'scale_pos_weight': 11.38710976837865, 'subsample': np.float64(0.9726559822580909)}",-0.49367706059534405,-0.4893113666573174,-0.49600009755859614,-0.49299617493708586,0.0027727825046508273,1
369.5875695546468,14.695762001258798,6.957054138183594,0.9030119867129663,0.6809723757181718,0.017987863473362915,-1,71,595,99,0.00877781550471966,0.014691979880907806,1.0,0.8553629079823468,"{'colsample_bytree': np.float64(0.6809723757181718), 'learning_rate': np.float64(0.017987863473362915), 'max_depth': -1, 'min_child_samples': 71, 'n_estimators': 595, 'num_leaves': 99, 'reg_alpha': np.float64(0.00877781550471966), 'reg_lambda': np.float64(0.014691979880907806), 'scale_pos_weight': 1, 'subsample': np.float64(0.8553629079823468)}",-0.7748618952965135,-0.7762033096350134,-0.77792005073047,-0.7763284185539989,0.0012516170462690001,18
115.21051907539368,2.394737874639393,2.153733412424723,0.4650017516640823,0.9878393575424482,0.06162682089644249,16,50,456,29,0.0006704010646472256,0.0011674886157243493,1.0,0.9202856692538302,"{'colsample_bytree': np.float64(0.9878393575424482), 'learning_rate': np.float64(0.06162682089644249), 'max_depth': 16, 'min_child_samples': 50, 'n_estimators': 456, 'num_leaves': 29, 'reg_alpha': np.float64(0.0006704010646472256), 'reg_lambda': np.float64(0.0011674886157243493), 'scale_pos_weight': 1, 'subsample': np.float64(0.9202856692538302)}",-0.7737643744741046,-0.7718376156969867,-0.7703226750567059,-0.7719748884092658,0.0014084167394827793,15
260.98659984270734,3.137825519311233,5.894629160563151,0.7543450053874672,0.7195504885369604,0.010166803740022877,8,90,691,49,0.8930539642879287,0.40387970251936,5.693554884189325,0.7754630049904954,"{'colsample_bytree': np.float64(0.7195504885369604), 'learning_rate': np.float64(0.010166803740022877), 'max_depth': 8, 'min_child_samples': 90, 'n_estimators': 691, 'num_leaves': 49, 'reg_alpha': np.float64(0.8930539642879287), 'reg_lambda': np.float64(0.40387970251936), 'scale_pos_weight': 5.693554884189325, 'subsample': np.float64(0.7754630049904954)}",-0.5488213845834908,-0.5444922746728779,-0.5433891856296188,-0.5455676149619958,0.002344420883951564,10
115.49530935287476,1.3692097721086223,2.0946408907572427,0.6329503606974579,0.6905541708337954,0.1327160497040489,12,43,332,62,0.007146464833933034,0.7528462475095737,1.0,0.9053621624183225,"{'colsample_bytree': np.float64(0.6905541708337954), 'learning_rate': np.float64(0.1327160497040489), 'max_depth': 12, 'min_child_samples': 43, 'n_estimators': 332, 'num_leaves': 62, 'reg_alpha': np.float64(0.007146464833933034), 'reg_lambda': np.float64(0.7528462475095737), 'scale_pos_weight': 1, 'subsample': np.float64(0.9053621624183225)}",-0.7629476970354743,-0.7633135373096106,-0.7637984439403916,-0.7633532260951589,0.000348447962475838,14
125.26353232065837,9.089706316537637,1.903557538986206,0.21428378864611505,0.8731451149743246,0.14265611436377926,-1,56,761,17,0.6366859160799433,0.25945979022901,11.38710976837865,0.7396239129664635,"{'colsample_bytree': np.float64(0.8731451149743246), 'learning_rate': np.float64(0.14265611436377926), 'max_depth': -1, 'min_child_samples': 56, 'n_estimators': 761, 'num_leaves': 17, 'reg_alpha': np.float64(0.6366859160799433), 'reg_lambda': np.float64(0.25945979022901), 'scale_pos_weight': 11.38710976837865, 'subsample': np.float64(0.7396239129664635)}",-0.5280294623367437,-0.5208589929636721,-0.5278895636691788,-0.5255926729898649,0.003347704472428734,8
146.04103883107504,2.9968715877276986,2.8809241453806558,0.5140432666099681,0.664151756338451,0.0840608420892158,5,51,760,65,0.00014359718569878106,0.5460347324433092,17.080664652567975,0.8471464501917343,"{'colsample_bytree': np.float64(0.664151756338451), 'learning_rate': np.float64(0.0840608420892158), 'max_depth': 5, 'min_child_samples': 51, 'n_estimators': 760, 'num_leaves': 65, 'reg_alpha': np.float64(0.00014359718569878106), 'reg_lambda': np.float64(0.5460347324433092), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.8471464501917343)}",-0.5073229028206285,-0.5021157762520884,-0.5087192995292797,-0.5060526595339989,0.0028415686305892,7
228.31886641184488,28.093990779820366,4.245019912719727,0.34726485249303485,0.8934306302491446,0.01518009192597831,16,24,470,43,0.0013931273790066707,0.0021433490423168255,11.38710976837865,0.8931747265638966,"{'colsample_bytree': np.float64(0.8934306302491446), 'learning_rate': np.float64(0.01518009192597831), 'max_depth': 16, 'min_child_samples': 24, 'n_estimators': 470, 'num_leaves': 43, 'reg_alpha': np.float64(0.0013931273790066707), 'reg_lambda': np.float64(0.0021433490423168255), 'scale_pos_weight': 11.38710976837865, 'subsample': np.float64(0.8931747265638966)}",-0.49911588600417056,-0.48845773935099934,-0.49756103509670496,-0.49504488681729164,0.0047008704260042625,2
155.25832573572794,1.6870328635283185,2.5255582332611084,0.43396854339661195,0.9581637436553402,0.06490876477881215,-1,15,327,58,0.012093436800433312,6.295277635296971,17.080664652567975,0.9326040543074219,"{'colsample_bytree': np.float64(0.9581637436553402), 'learning_rate': np.float64(0.06490876477881215), 'max_depth': -1, 'min_child_samples': 15, 'n_estimators': 327, 'num_leaves': 58, 'reg_alpha': np.float64(0.012093436800433312), 'reg_lambda': np.float64(6.295277635296971), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.9326040543074219)}",-0.49760374620440717,-0.49544528858700293,-0.5000365844735494,-0.49769520642165316,0.0018755040581060838,3
262.06810148557025,36.49077522045259,3.3797147274017334,0.2560041542726534,0.9636319549732226,0.025925793627054272,-1,10,676,41,0.013662775841358913,3.2984206833795753,1.0,0.7566734403553101,"{'colsample_bytree': np.float64(0.9636319549732226), 'learning_rate': np.float64(0.025925793627054272), 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 676, 'num_leaves': 41, 'reg_alpha': np.float64(0.013662775841358913), 'reg_lambda': np.float64(3.2984206833795753), 'scale_pos_weight': 1, 'subsample': np.float64(0.7566734403553101)}",-0.7756301598721997,-0.7750935941367999,-0.7758957098607351,-0.7755398212899115,0.0003336347336368443,17
200.31495968500772,1.9364205372073036,3.048905531565348,0.38755137556160624,0.7076295486000296,0.049529774984761375,16,60,533,58,0.0016619869571874958,0.005294498387690402,17.080664652567975,0.8315767176101782,"{'colsample_bytree': np.float64(0.7076295486000296), 'learning_rate': np.float64(0.049529774984761375), 'max_depth': 16, 'min_child_samples': 60, 'n_estimators': 533, 'num_leaves': 58, 'reg_alpha': np.float64(0.0016619869571874958), 'reg_lambda': np.float64(0.005294498387690402), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.8315767176101782)}",-0.49916466470738874,-0.4957013767788983,-0.5037925904246238,-0.499552877303637,0.0033146107192356484,6
208.57302403450012,21.614082092782144,3.248305002848307,0.6655665485069248,0.8960566356133123,0.029723025905970053,-1,67,863,26,0.0018151456496577564,0.13761974194183654,1.0,0.70183042548369,"{'colsample_bytree': np.float64(0.8960566356133123), 'learning_rate': np.float64(0.029723025905970053), 'max_depth': -1, 'min_child_samples': 67, 'n_estimators': 863, 'num_leaves': 26, 'reg_alpha': np.float64(0.0018151456496577564), 'reg_lambda': np.float64(0.13761974194183654), 'scale_pos_weight': 1, 'subsample': np.float64(0.70183042548369)}",-0.7748984793239272,-0.7747887272416862,-0.7722982366283749,-0.7739951477313295,0.001200733622523275,16
117.66130582491557,17.048146702846964,1.6806231339772542,0.5833845376478183,0.9992091697671297,0.022237712023076485,5,11,519,68,0.00014630314583620943,0.030490306382444696,1.0,0.7338466617334404,"{'colsample_bytree': np.float64(0.9992091697671297), 'learning_rate': np.float64(0.022237712023076485), 'max_depth': 5, 'min_child_samples': 11, 'n_estimators': 519, 'num_leaves': 68, 'reg_alpha': np.float64(0.00014630314583620943), 'reg_lambda': np.float64(0.030490306382444696), 'scale_pos_weight': 1, 'subsample': np.float64(0.7338466617334404)}",-0.782117727400217,-0.7840566808531395,-0.785334504036487,-0.7838363040966145,0.0013224566578973215,19
97.61873992284139,15.754285296998525,1.0298319657643635,0.16011400927146352,0.7007132052319281,0.04333040243296187,12,64,502,70,0.0015423669834226219,1.3554401900069613,17.080664652567975,0.8146052220561135,"{'colsample_bytree': np.float64(0.7007132052319281), 'learning_rate': np.float64(0.04333040243296187), 'max_depth': 12, 'min_child_samples': 64, 'n_estimators': 502, 'num_leaves': 70, 'reg_alpha': np.float64(0.0015423669834226219), 'reg_lambda': np.float64(1.3554401900069613), 'scale_pos_weight': 17.080664652567975, 'subsample': np.float64(0.8146052220561135)}",-0.5000426813653159,-0.49340877772764413,-0.5009390014877686,-0.4981301535269096,0.0033585105348348785,4
