threshold,roc_auc,accuracy,precision,recall,f1,business_cost,normalized_business_cost,tn,fp,fn,tp
0.05,0.7842470751581712,0.09168807518454684,0.0815926410022442,0.9995468277945619,0.15086983287352654,223533.0,0.9086411824005723,2705,223443,9,19851
0.060000000000000005,0.7842470751581712,0.09917970147312283,0.08218775239712552,0.9991440080563948,0.15188197248320864,221762.0,0.9014422295209912,4556,221592,17,19843
0.07,0.7842470751581712,0.10897206594907483,0.08295326164274656,0.9982376636455186,0.1531775159358702,219515.0,0.8923083802152776,6983,219165,35,19825
0.08000000000000002,0.7842470751581712,0.12031316054762446,0.08384853822961483,0.9970292044310172,0.15468806149711734,216941.0,0.8818453058437123,9797,216351,59,19801
0.09000000000000001,0.7842470751581712,0.13401596696042406,0.08493083577202233,0.9951661631419939,0.15650500659231015,213903.0,0.8694961139475139,13205,212943,96,19764
0.1,0.7842470751581712,0.14894231081916035,0.08616239305040553,0.9933534743202417,0.1585705501501067,210555.0,0.8558868004292544,16913,209235,132,19728
0.11000000000000001,0.7842470751581712,0.16540112516666125,0.08756315826928551,0.991289023162135,0.16091249407418307,206875.0,0.840927937302852,21003,205145,173,19687
0.12000000000000002,0.7842470751581712,0.18227862508536308,0.08898339665756853,0.9882175226586103,0.16326564566712976,203272.0,0.8262820721277356,25216,200932,234,19626
0.13,0.7842470751581712,0.20039185717537641,0.09060225568087116,0.9853474320241692,0.1659458634374682,199329.0,0.8102541380768105,29729,196419,291,19569
0.14,0.7842470751581712,0.21831403856785145,0.0922320225117643,0.9819738167170191,0.16862584034067574,195523.0,0.7947830964846672,34205,191943,358,19502
0.15000000000000002,0.7842470751581712,0.23668742479919352,0.0939209417727886,0.9777945619335348,0.1713801578861437,191750.0,0.7794461968716464,38808,187340,441,19419
0.16000000000000003,0.7842470751581712,0.25584940327143835,0.09574810638898659,0.9732124874118832,0.17434366303901716,187855.0,0.7636133784267178,43613,182535,532,19328
0.17000000000000004,0.7842470751581712,0.27440571038340217,0.09762085933140567,0.9689828801611279,0.17737222913498318,184046.0,0.7481301421091997,48262,177886,616,19244
0.18000000000000002,0.7842470751581712,0.29325469090436085,0.09956473579931044,0.9640483383685801,0.18048897750250995,180291.0,0.7328664108484277,52997,173151,714,19146
0.19000000000000003,0.7842470751581712,0.3125792657149361,0.10162126380636655,0.9585095669687814,0.18376025059971138,176527.0,0.7175660954115314,57861,168287,824,19036
0.20000000000000004,0.7842470751581712,0.3313103638906052,0.10378076908326896,0.9538267875125881,0.18719396805162336,172756.0,0.7022373256154272,62562,163586,917,18943
0.21000000000000002,0.7842470751581712,0.3499398393548177,0.10594431564968827,0.9480362537764351,0.19058995019638011,169208.0,0.6878150304055153,67260,158888,1032,18828
0.22000000000000003,0.7842470751581712,0.3683741992130337,0.10817562058736795,0.9419939577039275,0.19406538347830146,165753.0,0.6737707716822218,71915,154233,1152,18708
0.23000000000000004,0.7842470751581712,0.3864914962115053,0.11054258037677542,0.9366062437059416,0.1977462393026099,162259.0,0.6595679815290559,76479,149669,1259,18601
0.24000000000000005,0.7842470751581712,0.40433644434327337,0.11289908570869799,0.9301611278952668,0.20135815656951014,159021.0,0.6464058079412052,80997,145151,1387,18473
0.25000000000000006,0.7842470751581712,0.4213358915157231,0.11524254645509027,0.9237160120845922,0.20491940618611976,155991.0,0.6340891353126727,85307,140841,1515,18345
0.26000000000000006,0.7842470751581712,0.4379938863776788,0.11765655678412731,0.9172708962739174,0.20856135369679207,153045.0,0.6221139149946343,89533,136615,1643,18217
0.27,0.7842470751581712,0.4541722220415596,0.12000504808969659,0.909718026183283,0.2120390582822806,150415.0,0.6114232057494066,93663,132485,1793,18067
0.28,0.7842470751581712,0.47028145426165,0.12236315771479367,0.9010574018126888,0.21546612082718763,148000.0,0.601606451822705,97798,128350,1965,17895
0.29000000000000004,0.7842470751581712,0.4857484309453351,0.12487865272873082,0.8938569989929507,0.21914155566802868,145482.0,0.5913710123248025,101746,124402,2108,17752
0.30000000000000004,0.7842470751581712,0.5010121622061071,0.1274053259366015,0.8858006042296073,0.2227695502694078,143167.0,0.581960749243927,105661,120487,2268,17592
0.31000000000000005,0.7842470751581712,0.5156742870150565,0.12984834250436184,0.8768882175226587,0.2262011456182052,141153.0,0.5737740236089883,109445,116703,2445,17415
0.32000000000000006,0.7842470751581712,0.5302551136548405,0.13249310691765934,0.8686304128902316,0.22991676829065125,139042.0,0.5651930018535982,113196,112952,2609,17251
0.33000000000000007,0.7842470751581712,0.5446530194140028,0.13534602144581173,0.861178247734139,0.23392716703710037,136832.0,0.5562095541608403,116886,109262,2757,17103
0.3400000000000001,0.7842470751581712,0.5583883450944684,0.1379518465352995,0.8516616314199396,0.2374427941713227,135154.0,0.5493886377678775,120454,105694,2946,16914
0.3500000000000001,0.7842470751581712,0.5719448148027706,0.14070660263903723,0.8424471299093655,0.24113802272874674,133466.0,0.542527072290332,123972,102176,3129,16731
0.36000000000000004,0.7842470751581712,0.5850744691229554,0.14354465284461904,0.8335347432024169,0.24491245200949824,131829.0,0.5358728171441579,127379,98769,3306,16554
0.37000000000000005,0.7842470751581712,0.5982732268869305,0.14655542824405615,0.8243705941591138,0.2488675402061229,130220.0,0.5293323794348151,130808,95340,3488,16372
0.38000000000000006,0.7842470751581712,0.6110532990797047,0.14958592132505175,0.8149043303121853,0.25277231124855526,128768.0,0.5234301323534194,134140,92008,3676,16184
0.39000000000000007,0.7842470751581712,0.6233862313420702,0.15257359960288672,0.8047834843907351,0.2565160172048533,127543.0,0.5184506194920491,137375,88773,3877,15983
0.4000000000000001,0.7842470751581712,0.6351378816949043,0.1556665582912147,0.7955689828801611,0.26038447910744156,126299.0,0.5133938733699717,140449,85699,4060,15800
0.4100000000000001,0.7842470751581712,0.647210659815941,0.15867527513437982,0.7833333333333333,0.26389489665233284,125516.0,0.510211050047153,143662,82486,4303,15557
0.4200000000000001,0.7842470751581712,0.658994829436441,0.16223202228224173,0.774269889224572,0.2682565158228952,124237.0,0.5050120321290364,146741,79407,4483,15377
0.43000000000000005,0.7842470751581712,0.6699172384637898,0.16511808186572624,0.7614803625377643,0.2713887069421888,123836.0,0.5033820038372736,149682,76466,4737,15123
0.44000000000000006,0.7842470751581712,0.6801038990601932,0.16821365333213034,0.751007049345418,0.2748624766187216,123202.0,0.5008048518747358,152396,73752,4945,14915
0.45000000000000007,0.7842470751581712,0.6906645312347566,0.17137447847885282,0.7383685800604229,0.27818300814781793,122863.0,0.4994268479073851,155245,70903,5196,14664
0.4600000000000001,0.7842470751581712,0.7010666319794479,0.1749188508308706,0.7271903323262839,0.2820042177614622,122302.0,0.49714643426230043,158026,68122,5418,14442
0.4700000000000001,0.7842470751581712,0.7113386556534746,0.17871543959702035,0.7163645518630413,0.28606472498416563,121710.0,0.4947400084550096,160768,65380,5633,14227
0.4800000000000001,0.7842470751581712,0.7208017625443075,0.18210821016993295,0.7041792547834844,0.2893797527287776,121560.0,0.49413027218627037,163338,62810,5875,13985
0.4900000000000001,0.7842470751581712,0.7301795063575168,0.18562121539792387,0.6914904330312185,0.2926772089851242,121521.0,0.49397174075639816,165897,60251,6127,13733
0.5000000000000001,0.7842470751581712,0.7396426132483497,0.18964209461737275,0.6798086606243706,0.2965558142599833,121281.0,0.4929961627264154,168457,57691,6359,13501
0.5100000000000001,0.7842470751581712,0.748739878377939,0.19347673602992752,0.6666666666666666,0.2999139219861369,121392.0,0.49344736756528246,170956,55192,6620,13240
0.5200000000000001,0.7842470751581712,0.7575891840915743,0.19735820918235356,0.6530211480362538,0.303109625699695,121654.0,0.494512373581347,173404,52744,6891,12969
0.5300000000000001,0.7842470751581712,0.7661132971285487,0.20138536647222927,0.6397280966767371,0.3063364999758885,121933.0,0.4956464830412019,175765,50383,7155,12705
0.5400000000000001,0.7842470751581712,0.7746496048908978,0.20560685797504386,0.6255790533736153,0.3094935605211369,122362.0,0.4973903287697961,178146,48002,7436,12424
