model,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_recall,std_cv_recall,mean_cv_precision,std_cv_precision,mean_cv_f1,std_cv_f1,mean_cv_business_cost,std_cv_business_cost,oof_roc_auc,oof_accuracy,oof_precision,oof_recall,oof_f1,tn,fp,fn,tp,mean_fit_time,std_fit_time,mean_score_time,total_cv_time
LightGBM,0.782941333680875,0.0015732042535824933,0.6379657603222557,0.0022484505097448214,0.20136237691453293,0.001077060862369802,0.306107273094415,0.0015031689450656616,0.4965367004719789,0.0024625417419692434,0.7829313863938276,0.7665035283405418,0.20136041448142145,0.6379657603222558,0.3061051919499408,175896,50252,7190,12670,36.758441050847374,0.6055022562476907,1.977646271387736,78.7246561050415
XGBoost,0.7828763332609233,0.0017513032528410062,0.6160120845921451,0.002801697430663349,0.20842536253304855,0.00033265417917470073,0.31146650934997594,0.0007269661152256051,0.49885776432532425,0.0017816073486904684,0.7828639388733853,0.7801291014926344,0.2084227742001431,0.6160120845921451,0.3114641411441228,179684,46464,7626,12234,53.31226507822672,0.3331647350211627,2.228886922200521,111.23737096786499
RandomForest,0.7577056421048217,0.0012660191399554313,0.34159113796576035,0.007565280170427283,0.25466060233850424,0.002243984630417258,0.2917719951125791,0.00408875514639349,0.612228049993972,0.005147542578622981,0.7576903663832439,0.8661466293779064,0.2546833352104216,0.34159113796576035,0.29180377228638404,206295,19853,13076,6784,117.05905659993489,1.1903850150925328,2.5486454168955484,258.3188011646271
MLP,0.7540238300050551,0.0015409864369185502,0.02905337361530715,0.008827349041067549,0.4951056676901507,0.015088294559052081,0.05456899262389576,0.01567902126294309,0.7862711481922885,0.0062559126174691814,0.7538073813241855,0.9191814900328444,0.4906462585034014,0.02905337361530715,0.0548583380870888,225549,599,19283,577,51.67100842793783,1.8624656865105236,2.2784529527028403,91.15389609336853
DummyClassifier,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8072908198374166,4.640850163586693e-06,0.4999985260389951,0.9192709180189262,0.0,0.0,0.0,226148,0,19860,0,25.828714688618977,0.4726893756273843,2.011360247929891,60.72528696060181
